curve_date,contract_month,market,region,price,currency,unit,contract_type,source_note
2026-04-09,2026-07-01,DES_JAPAN_LNG,Japan,13.5796,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2026-08-01,DES_JAPAN_LNG,Japan,13.5037,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2026-09-01,DES_JAPAN_LNG,Japan,13.5857,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2026-10-01,DES_JAPAN_LNG,Japan,13.5793,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2026-11-01,DES_JAPAN_LNG,Japan,13.6248,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2026-12-01,DES_JAPAN_LNG,Japan,13.5343,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-01-01,DES_JAPAN_LNG,Japan,13.3474,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-02-01,DES_JAPAN_LNG,Japan,12.7897,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-03-01,DES_JAPAN_LNG,Japan,12.0119,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-04-01,DES_JAPAN_LNG,Japan,11.2149,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-05-01,DES_JAPAN_LNG,Japan,10.3302,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-06-01,DES_JAPAN_LNG,Japan,9.8651,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-07-01,DES_JAPAN_LNG,Japan,9.7197,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-08-01,DES_JAPAN_LNG,Japan,9.5787,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-09-01,DES_JAPAN_LNG,Japan,9.4891,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-10-01,DES_JAPAN_LNG,Japan,9.3724,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-11-01,DES_JAPAN_LNG,Japan,9.2836,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2027-12-01,DES_JAPAN_LNG,Japan,9.0953,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2028-01-01,DES_JAPAN_LNG,Japan,8.8765,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2028-02-01,DES_JAPAN_LNG,Japan,8.4626,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2028-03-01,DES_JAPAN_LNG,Japan,7.6793,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2028-04-01,DES_JAPAN_LNG,Japan,7.1047,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2028-05-01,DES_JAPAN_LNG,Japan,6.4468,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2028-06-01,DES_JAPAN_LNG,Japan,5.9739,USD,MMBtu,physical_forward_proxy,Synthetic DES Japan LNG delivered forward proxy.
2026-04-09,2026-07-01,JCC,Japan,73.1402,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2026-08-01,JCC,Japan,73.3455,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2026-09-01,JCC,Japan,73.5002,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2026-10-01,JCC,Japan,73.8814,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2026-11-01,JCC,Japan,74.2085,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2026-12-01,JCC,Japan,74.447,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-01-01,JCC,Japan,74.8,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-02-01,JCC,Japan,75.0395,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-03-01,JCC,Japan,75.3829,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-04-01,JCC,Japan,75.7289,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-05-01,JCC,Japan,75.8729,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-06-01,JCC,Japan,76.2264,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-07-01,JCC,Japan,76.4717,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-08-01,JCC,Japan,76.8051,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-09-01,JCC,Japan,77.0051,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-10-01,JCC,Japan,77.3396,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-11-01,JCC,Japan,77.6584,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2027-12-01,JCC,Japan,78.0271,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2028-01-01,JCC,Japan,78.3363,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2028-02-01,JCC,Japan,78.4555,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2028-03-01,JCC,Japan,78.7845,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2028-04-01,JCC,Japan,79.1775,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2028-05-01,JCC,Japan,79.2847,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2028-06-01,JCC,Japan,79.6838,USD,bbl,monthly_customs_proxy,Synthetic monthly JCC customs-cleared crude proxy derived from Brent-style oil structure; not an exchange-traded future.
2026-04-09,2026-07-01,JCC_LINKED_LNG,Japan,11.0729,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2026-08-01,JCC_LINKED_LNG,Japan,11.1645,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2026-09-01,JCC_LINKED_LNG,Japan,11.2852,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2026-10-01,JCC_LINKED_LNG,Japan,11.4316,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2026-11-01,JCC_LINKED_LNG,Japan,11.5911,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2026-12-01,JCC_LINKED_LNG,Japan,11.7226,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-01-01,JCC_LINKED_LNG,Japan,11.8218,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-02-01,JCC_LINKED_LNG,Japan,11.8124,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-03-01,JCC_LINKED_LNG,Japan,11.7745,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-04-01,JCC_LINKED_LNG,Japan,11.7113,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-05-01,JCC_LINKED_LNG,Japan,11.6331,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-06-01,JCC_LINKED_LNG,Japan,11.5905,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-07-01,JCC_LINKED_LNG,Japan,11.5917,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-08-01,JCC_LINKED_LNG,Japan,11.6817,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-09-01,JCC_LINKED_LNG,Japan,11.808,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-10-01,JCC_LINKED_LNG,Japan,11.9927,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-11-01,JCC_LINKED_LNG,Japan,12.1517,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2027-12-01,JCC_LINKED_LNG,Japan,12.2772,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2028-01-01,JCC_LINKED_LNG,Japan,12.3643,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2028-02-01,JCC_LINKED_LNG,Japan,12.3652,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2028-03-01,JCC_LINKED_LNG,Japan,12.3393,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2028-04-01,JCC_LINKED_LNG,Japan,12.2492,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2028-05-01,JCC_LINKED_LNG,Japan,12.1788,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2028-06-01,JCC_LINKED_LNG,Japan,12.1098,USD,MMBtu,physical_contract_proxy,Synthetic 11-13.5% oil-linked LNG proxy. Replace with contract-specific slope and constant.
2026-04-09,2026-07-01,NEWCASTLE_COAL,Australia,137.1696,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2026-08-01,NEWCASTLE_COAL,Australia,138.3985,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2026-09-01,NEWCASTLE_COAL,Australia,141.4921,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2026-10-01,NEWCASTLE_COAL,Australia,146.1392,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2026-11-01,NEWCASTLE_COAL,Australia,149.9054,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2026-12-01,NEWCASTLE_COAL,Australia,153.686,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-01-01,NEWCASTLE_COAL,Australia,156.6871,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-02-01,NEWCASTLE_COAL,Australia,156.2138,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-03-01,NEWCASTLE_COAL,Australia,155.7952,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-04-01,NEWCASTLE_COAL,Australia,154.8631,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-05-01,NEWCASTLE_COAL,Australia,153.6647,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-06-01,NEWCASTLE_COAL,Australia,152.7728,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-07-01,NEWCASTLE_COAL,Australia,153.3922,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-08-01,NEWCASTLE_COAL,Australia,155.8783,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-09-01,NEWCASTLE_COAL,Australia,159.256,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-10-01,NEWCASTLE_COAL,Australia,162.8875,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-11-01,NEWCASTLE_COAL,Australia,167.5719,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2027-12-01,NEWCASTLE_COAL,Australia,171.191,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2028-01-01,NEWCASTLE_COAL,Australia,173.0038,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2028-02-01,NEWCASTLE_COAL,Australia,174.2069,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2028-03-01,NEWCASTLE_COAL,Australia,173.0398,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2028-04-01,NEWCASTLE_COAL,Australia,172.2098,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2028-05-01,NEWCASTLE_COAL,Australia,170.2864,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2028-06-01,NEWCASTLE_COAL,Australia,169.4026,USD,tonne,financial_forward_proxy,Synthetic Newcastle coal forward proxy.
2026-04-09,2026-07-01,CFR_JAPAN_COAL,Japan,145.4648,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2026-08-01,CFR_JAPAN_COAL,Japan,147.6914,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2026-09-01,CFR_JAPAN_COAL,Japan,150.1799,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2026-10-01,CFR_JAPAN_COAL,Japan,154.5971,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2026-11-01,CFR_JAPAN_COAL,Japan,159.3288,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2026-12-01,CFR_JAPAN_COAL,Japan,161.6743,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-01-01,CFR_JAPAN_COAL,Japan,165.0852,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-02-01,CFR_JAPAN_COAL,Japan,164.6372,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-03-01,CFR_JAPAN_COAL,Japan,165.0274,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-04-01,CFR_JAPAN_COAL,Japan,162.8726,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-05-01,CFR_JAPAN_COAL,Japan,162.0417,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-06-01,CFR_JAPAN_COAL,Japan,160.9755,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-07-01,CFR_JAPAN_COAL,Japan,160.8,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-08-01,CFR_JAPAN_COAL,Japan,164.0864,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-09-01,CFR_JAPAN_COAL,Japan,167.6642,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-10-01,CFR_JAPAN_COAL,Japan,171.358,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-11-01,CFR_JAPAN_COAL,Japan,175.6516,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2027-12-01,CFR_JAPAN_COAL,Japan,179.3133,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2028-01-01,CFR_JAPAN_COAL,Japan,181.1897,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2028-02-01,CFR_JAPAN_COAL,Japan,182.6485,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2028-03-01,CFR_JAPAN_COAL,Japan,181.0684,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2028-04-01,CFR_JAPAN_COAL,Japan,179.5182,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2028-05-01,CFR_JAPAN_COAL,Japan,177.3961,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2028-06-01,CFR_JAPAN_COAL,Japan,176.4675,USD,tonne,physical_forward_proxy,Synthetic CFR Japan coal delivered forward proxy.
2026-04-09,2026-07-01,BRENT,Global,78.8852,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2026-08-01,BRENT,Global,79.2713,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2026-09-01,BRENT,Global,79.3023,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2026-10-01,BRENT,Global,79.5611,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2026-11-01,BRENT,Global,79.6334,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2026-12-01,BRENT,Global,79.7277,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-01-01,BRENT,Global,79.9188,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-02-01,BRENT,Global,80.0558,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-03-01,BRENT,Global,80.2649,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-04-01,BRENT,Global,80.3884,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-05-01,BRENT,Global,80.5532,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-06-01,BRENT,Global,80.6141,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-07-01,BRENT,Global,80.8236,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-08-01,BRENT,Global,81.203,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-09-01,BRENT,Global,81.1518,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-10-01,BRENT,Global,81.2753,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-11-01,BRENT,Global,81.5585,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2027-12-01,BRENT,Global,81.8128,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2028-01-01,BRENT,Global,81.7133,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2028-02-01,BRENT,Global,81.9834,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2028-03-01,BRENT,Global,82.1033,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2028-04-01,BRENT,Global,82.1597,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2028-05-01,BRENT,Global,82.5423,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2028-06-01,BRENT,Global,82.6321,USD,bbl,financial_futures,Synthetic Brent futures curve proxy. Production source should use ICE Brent futures settlements.
2026-04-09,2026-07-01,JAPAN_POWER_FUTURES,Japan,16.4647,JPY,kWh,prompt_month_cash_settled_futures,"Synthetic prompt-month Japan power futures proxy; cash-settled financial future, not physical delivery."
2026-04-09,2026-08-01,JAPAN_POWER_FUTURES,Japan,16.7946,JPY,kWh,prompt_month_cash_settled_futures,"Synthetic prompt-month Japan power futures proxy; cash-settled financial future, not physical delivery."
2026-04-09,2026-09-01,JAPAN_POWER_FUTURES,Japan,17.213,JPY,kWh,prompt_month_cash_settled_futures,"Synthetic prompt-month Japan power futures proxy; cash-settled financial future, not physical delivery."
