month,area,generation_type,generation_gwh,source,source_note
2024-04-01,Tokyo,Hydro,1400.11,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Wind,279.5,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Biomass,860.5,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Oil,1084.43,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Other,1258.64,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Gas,3064.94,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Coal,2279.65,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Nuclear,3397.11,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Solar,1198.34,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Hydro,1080.9,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Wind,218.49,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Biomass,308.35,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Oil,302.65,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Kansai,Other,209.96,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Gas,11768.34,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Coal,5402.2,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Solar,2993.99,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Hydro,1669.11,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Wind,539.4,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Biomass,1052.15,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Oil,833.81,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Tokyo,Other,1191.57,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Gas,3011.39,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Coal,2174.26,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Nuclear,3082.24,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Solar,1230.44,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Hydro,781.13,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Wind,264.5,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Biomass,417.97,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Oil,219.31,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-05-01,Kansai,Other,373.92,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Gas,11986.31,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Coal,4855.21,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Solar,3051.1,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Hydro,2006.67,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Wind,339.49,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Biomass,900.5,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Oil,743.13,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Tokyo,Other,1411.05,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Gas,3402.15,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Coal,2192.39,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Nuclear,3402.85,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Solar,1268.66,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Hydro,1302.91,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Wind,186.15,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Biomass,106.9,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Oil,273.53,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-06-01,Kansai,Other,196.28,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Gas,13809.52,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Coal,5273.45,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Solar,2556.14,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Hydro,2187.82,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Wind,972.55,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Biomass,800.04,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Oil,389.67,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Tokyo,Other,1101.62,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Gas,3324.85,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Coal,2237.7,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Nuclear,3301.85,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Solar,1295.35,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Hydro,1168.23,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Wind,303.77,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Biomass,510.09,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Oil,91.53,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-07-01,Kansai,Other,64.76,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Gas,13395.78,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Coal,5664.04,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Solar,2170.21,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Hydro,1921.15,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Wind,561.03,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Biomass,1007.12,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Oil,567.06,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Tokyo,Other,1159.89,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Gas,3749.22,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Coal,2578.48,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Nuclear,3611.98,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Solar,901.24,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Hydro,1135.69,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Wind,371.91,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Biomass,302.89,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Oil,193.97,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-08-01,Kansai,Other,299.61,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
